#Hinchliff CE, Roalson EH (2012) Data from: Using supermatrices for phylogenetic inquiry: an example using the sedges. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.6p76c3pb
#http://datadryad.org/bitstream/handle/10255/dryad.38186/cyp_states.csv

name,tropical
Carex_aequialta,0
Carex_aestivalis,0
Carex_aethiopica,0
Carex_agglomerata,0
Carex_aggregata,0
Carex_alajica,0
Carex_alata,0
Carex_alba,0
Carex_albata,0
Carex_albicans,0
Carex_albida,0
Carex_albidibasis,0
Carex_albolutescens,0
Carex_albonigra,0
Carex_alboviridis,1
Carex_albula,0
Carex_algida,0
Carex_allanii,0
Carex_alligata,1
Carex_alliiformis,0
Carex_allivescens,0
Carex_alma,0
Carex_alopecoidea,0
Carex_alopecuroides,1
Carex_alsophila,0
Carex_amgunensis,0
Carex_amicta,1
Carex_amphibola,0
Carex_amplectens,0
Carex_amplifolia,0
Carex_andersonii,0
Carex_andicola,0
Carex_andina,0
Carex_andringitrensis,1
Carex_angolensis,1
Carex_angustata,0
Carex_angustispica,1
Carex_angustisquama,0
Carex_angustiutricula,0
Carex_anisoneura,0
Carex_anisostachys,1
Carex_anningensis,0
Carex_anomoea,0
Carex_anthoxanthea,0
Carex_antoniensis,1
Carex_aperta,0
Carex_aphanolepis,0
Carex_aphylla,0
Carex_aphyllopus,0
Carex_apiahyensis,1
Carex_apoiensis,0
Carex_appalachica,0
Carex_appressa,0
Carex_appropinquata,0
Carex_aquatilis,0
Carex_aquilonalis,0
Carex_arapahoensis,0
Carex_archeri,0
Carex_arcta,0
Carex_arctata,0
Carex_arctiformis,0
Carex_arenaria,0
Carex_arenicola,0
Carex_argentina,0
Carex_argunensis,0
Carex_argyi,0
Carex_argyrantha,0
Carex_aridula,0
Carex_arisanensis,0
Carex_aristatisquamata,0
Carex_aristulifera,0
Carex_arnellii,0
Carex_arnottiana,1
Carex_arsenei,1
Carex_asperifructus,0
Carex_asraoi,0
Carex_assiniboinensis,0
Carex_asturica,0
Carex_asynchrona,0
Carex_atherodes,0
Carex_athrostachya,0
Carex_atlantica,0
Carex_atractodes,1
Carex_atrata,0
Carex_atratiformis,0
Carex_atrivaginata,1
Carex_atrofusca,0
Carex_atrofuscoides,0
Carex_atropicta,0
Carex_atrosquama,0
Carex_atroviridis,0
Carex_aueri,0
Carex_augustini,0
Carex_augustinowiczii,0
Carex_aurea,0
Carex_aureolensis,0
Carex_austrina,0
Carex_occidentalis,0
Carex_austroalpina,0
Carex_austroamericana,0
Carex_austrocaroliniana,0
Carex_austrokoreensis,0
Carex_austromexicana,1
Carex_austrosinensis,0
Carex_austrozhejiangensis,0
Carex_autumnalis,0
Carex_aztecica,1
Carex_azuayae,1
Carex_baccans,1
Carex_backii,0
Carex_baileyi,0
Carex_baimaensis,0
Carex_baiposhanensis,0
Carex_balansae,1
Carex_baldensis,0
Carex_balfourii,1
Carex_ballsii,1
Carex_baltzellii,0
Carex_bambusetorum,0
Carex_banksii,0
Carex_baohuashanica,0
Carex_barbarae,0
Carex_barbata,0
Carex_baronii,1
Carex_barrattii,0
Carex_basiantha,0
Carex_bathiei,1
Carex_bavicola,1
Carex_bebbii,0
Carex_beckii,1
Carex_benkei,0
Carex_bequaertii,1
Carex_berggrenii,0
Carex_bermudiana,0
Carex_berteroana,0
Carex_bichenoviana,0
Carex_bicknellii,0
Carex_bicolor,0
Carex_biegensis,1
Carex_bigelowii,0
Carex_bijiangensis,0
Carex_bilateralis,1
Carex_biltmoreana,0
Carex_binervis,0
Carex_bitchuensis,0
Carex_blakei,0
Carex_blanda,0
Carex_blepharicarpa,0
Carex_blinii,1
Carex_bodinieri,0
Carex_boelckeiana,0
Carex_bohemica,0
Carex_bolanderi,0
Carex_boliviensis,1
Carex_bonanzensis,0
Carex_bonariensis,0
Carex_bonplandii,1
Carex_boottiana,0
Carex_borbonica,1
Carex_borealihinganica,0
Carex_borii,0
